'jian'she'bu	建设部	011124.403554.618052	51111254.453554.4143125152
'guo'wu'yuan'can'shi'shi	国务院参事室	251141.9053.524615.541343.180012.461549	25112141.35453.524451135.54134333.12515112.445154121
'guo'wu'yuan'bu'wei	国务院部委	251141.9053.524615.618052.9259	25112141.35453.524451135.4143125152.31234531
'nei'wu'si'fa'wei'yuan'hui	内务司法委员会	2534.9053.5180.441954.9259.8028.341154	2534.35453.51251.44112154.31234531.2512534.341154
'shui'li'bu	水利部	2534.9222.618052	2534.3123422.4143125152
'cai'zheng'jing'ji'wei'yuan'hui	财政经济委员会	28123.12190.555411.446632.9259.8028.341154	2534123.121213134.55154121.441413432.31234531.2512534.341154
'cai'zheng'bu	财政部	28123.12190.618052	2534123.121213134.4143125152
'cai'wu'jing'ji'wei'yuan'hui	财务经济委员会	28123.9053.555411.446632.9259.8028.341154	2534123.35453.55154121.441413432.31234531.2512534.341154
'te'ding'wen'ti'diao'cha'wei'yuan'hui	特定问题调查委员会	311914.461214.4280.811218.403510.12811.9259.8028.341154	3121121124.44512134.425251.251112134132534.4535121251.123425111.31234531.2512534.341154
'te'ding'wen'ti'wei'yuan'hui	特定问题委员会	311914.461214.4280.811218.9259.8028.341154	3121121124.44512134.425251.251112134132534.31234531.2512534.341154
'ti'yu'yun'dong'wei'yuan'hui	体育运动委员会	32121.415421.115444.115453.9259.8028.341154	3212341.41542511.1154454.115453.31234531.2512534.341154
'dai'biao'zi'ge'shen'cha'wei'yuan'hui	代表资格审查委员会	32154.713534.413538.129080.4683.12811.9259.8028.341154	32154.11213534.4135342534.1234354251.44525112.123425111.31234531.2512534.341154
'hua'qiao'wei'yuan'hui	华侨委员会	323512.329632.9259.8028.341154	323512.32313432.31234531.2512534.341154
'xin'xi'chan'ye'bu	信息产业部	3240.38265.613.22.618052	324111251.3251114544.414313.22431.4143125152
'qiao'wu'ban'gong'ting	侨务办公厅	329632.9053.5344.3454.1312	32313432.35453.5344.3454.1312
'zhi'jian'ju	质监局	331228.223144.07580	33122534.2231425221.5135251
'hou'qin'xue'yuan	后勤学院	33180.1853.6458.524615	331251.1221251112153.44345521.524451135
'ren'da'chang'wei'fa'zhi'gong'zuo'wei'yuan'hui	人大常委法制工作委员会	34.134.248025.9259.441954.311252.121.323121.9259.8028.341154	34.134.24345251252.31234531.44112154.31125222.121.3231211.31234531.2512534.341154
'ren'da'chang'wei'ban'gong'ting	人大常委办公厅	34.134.248025.9259.5344.3454.1312	34.134.24345251252.31234531.5344.3454.1312
'ren'shi'bu	人事部	34.180012.618052	34.12515112.4143125152
'ren'min'tuan'ti	人民团体	34.51515.251231.32121	34.51515.251231.3212341
'quan'guo'zheng'xie'chang'wu'wei'yuan'hui	全国政协常务委员会	3411.251141.12190.125344.248025.9053.9259.8028.341154	341121.25112141.121213134.125344.24345251252.35453.31234531.2512534.341154
'quan'guo'shao'nian'er'tong'wen'hua'yi'shu'wei'yuan'hui	全国少年儿童文化艺术委员会	3411.251141.2343.311212.35.618121.66.3235.175.124.9259.8028.341154	341121.25112141.2343.311212.35.414312511211.4134.3235.1225.12344.31234531.2512534.341154
'quan'guo'ren'min'dai'biao'da'hui	全国人民代表大会	3411.251141.34.51515.32154.713534.134.341154	341121.25112141.34.51515.32154.11213534.134.341154
'quan'guo'ren'min'dai'biao'da'hui'chang'wu'wei'yuan'hui	全国人民代表大会常务委员会	3411.251141.34.51515.32154.713534.134.341154.248025.9053.9259.8028.341154	341121.25112141.34.51515.32154.11213534.134.341154.24345251252.35453.31234531.2512534.341154
'quan'guo'ren'min'dai'biao'da'hui'ge'wei'yuan'hui	全国人民代表大会各委员会	3411.251141.34.51515.32154.713534.134.341154.9080.9259.8028.341154	341121.25112141.34.51515.32154.11213534.134.341154.354251.31234531.2512534.341154
'quan'guo'er'tong'he'shao'nian'gong'zuo'xie'tiao'wei'yuan'hui	全国儿童和少年工作协调委员会	3411.251141.35.618121.9280.2343.311212.121.323121.125344.403510.9259.8028.341154	341121.25112141.35.414312511211.31234251.2343.311212.121.3231211.125344.4535121251.31234531.2512534.341154
'quan'guo'shi'xue'hui	全国史学会	3411.251141.8034.6458.341154	341121.25112141.25134.44345521.341154
'quan'guo'wei'yuan'hui	全国委员会	3411.251141.9259.8028.341154	341121.25112141.31234531.2512534.341154
'gong'an'bu	公安部	3454.4659.618052	3454.445531.4143125152
'jiu'san'xue'she	九三学社	35.111.6458.6219	35.111.44345521.4524121
'di'er'pao'bing	第二炮兵	375723.11.693555.321214	31431451523.11.433435515.3212134
'ji'sheng'wei	计生委	4012.371.9259	4512.31121.31234531
'zheng'jian'wei	证监委	40121.223144.9259	4512121.2231425221.31234531
'zhu'xi	主席	411.471825	41121.4131221252
'zhu'xi'tuan	主席团	411.471825.251231	41121.4131221252.251231
'zhuang'jia'bing	装甲兵	412194.83.321214	412121413534.25112.3212134
'lan'zhou'jun'qu	兰州军区	431.434242.4577.1345	43111.434242.451512.1345
'zong'li	总理	438065.118121	432514544.11212511211
'zong'zheng'zhi'bu	总政治部	438065.12190.445480.618052	432514544.121213134.44154251.4143125152
'zong'hou'qin'bu	总后勤部	438065.33180.1853.618052	432514544.331251.1221251112153.4143125152
'zong'can'mou'bu	总参谋部	438065.541343.401812.618052	432514544.54134333.45122111234.4143125152
'gang'ao'ban'gong'ting	港澳办公厅	441835.443254.5344.3454.1312	441122134515.441325431234134.5344.3454.1312
'gang'ao'tai	港澳台	441835.443254.5480	441122134515.441325431234134.54251
'fa'zhi'ban'gong'ting	法制办公厅	441954.311252.5344.3454.1312	44112154.31125222.5344.3454.1312
'fa'zhi'wei'yuan'hui	法制委员会	441954.311252.9259.8028.341154	44112154.31125222.31234531.2512534.341154
'fa'lv'wei'yuan'hui	法律委员会	441954.330112.9259.8028.341154	44112154.332511112.31234531.2512534.341154
'ce'hui'xue'hui	测绘学会	442822.553414.6458.341154	441253422.551341154.44345521.341154
